   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 1	 2- 2	 4- 1	    39141.76	Ej Spelad	1.00	 1
 0- 1	 2- 2	 4- 2	    34379.26	Ej Spelad	1.00	 1
 0- 1	 2- 2	 4- 3	    52264.43	Ej Spelad	1.00	 1
 0- 1	 2- 2	 4- 4	    28676.43	Ej Spelad	1.00	 1
 0- 1	 2- 2	 4- 5	   192847.30	Ej Spelad	1.00	 1
 0- 1	 2- 2	 5- 0	   251159.61	Ej Spelad	1.00	 1
 0- 1	 2- 2	 5- 1	    72917.30	Ej Spelad	1.00	 1
 0- 1	 2- 2	 5- 2	    49139.93	Ej Spelad	1.00	 1
 0- 1	 2- 2	 5- 3	    65998.15	Ej Spelad	1.00	 1
 0- 1	 2- 2	 5- 4	   129167.80	Ej Spelad	1.00	 1
 0- 1	 2- 2	 6- 1	   180834.92	Ej Spelad	1.00	 1
 0- 1	 2- 2	 6- 2	   148225.34	Ej Spelad	1.00	 1
 0- 1	 2- 2	 6- 3	   115919.82	Ej Spelad	1.00	 1
 0- 1	 2- 2	 6- 4	   173879.73	Ej Spelad	1.00	 1
 0- 1	 2- 3	 0- 3	   171155.08	Ej Spelad	1.00	 1
 0- 1	 2- 3	 1- 0	   216558.50	Ej Spelad	1.00	 1
 0- 1	 2- 3	 1- 2	    91508.66	Ej Spelad	1.00	 1
 0- 1	 2- 3	 1- 3	    89731.78	Ej Spelad	1.00	 1
 0- 1	 2- 3	 1- 4	    97288.15	Ej Spelad	1.00	 1
 0- 1	 2- 3	 2- 0	   182226.05	Ej Spelad	1.00	 1
 0- 1	 2- 3	 2- 1	    60496.10	Ej Spelad	1.00	 1
 0- 1	 2- 3	 2- 2	    31594.09	Ej Spelad	1.00	 1
 0- 1	 2- 3	 2- 3	    83264.63	Ej Spelad	1.00	 1
 0- 1	 2- 3	 2- 4	    96274.73	Ej Spelad	1.00	 1
 0- 1	 2- 3	 2- 5	   130174.29	Ej Spelad	1.00	 1
 0- 1	 2- 3	 3- 0	   110685.45	Ej Spelad	1.00	 1
 0- 1	 2- 3	 3- 1	    58142.16	Ej Spelad	1.00	 1
 0- 1	 2- 3	 3- 2	    47739.73	Ej Spelad	1.00	 1
 0- 1	 2- 3	 3- 3	    23695.57	Ej Spelad	1.00	 1
 0- 1	 2- 3	 3- 4	   120030.83	Ej Spelad	1.00	 1
 0- 1	 2- 3	 3- 5	   133947.45	Ej Spelad	1.00	 1
 0- 1	 2- 3	 4- 0	   213464.80	Ej Spelad	1.00	 1
 0- 1	 2- 3	 4- 1	    64686.30	Ej Spelad	1.00	 1
 0- 1	 2- 3	 4- 2	    56815.73	Ej Spelad	1.00	 1
 0- 1	 2- 3	 4- 3	    86373.04	Ej Spelad	1.00	 1
 0- 1	 2- 3	 4- 4	    47391.14	Ej Spelad	1.00	 1
 0- 1	 2- 3	 5- 1	   120504.32	Ej Spelad	1.00	 1
 0- 1	 2- 3	 5- 2	    81209.44	Ej Spelad	1.00	 1
 0- 1	 2- 3	 5- 3	   109069.60	Ej Spelad	1.00	 1
 0- 1	 2- 3	 5- 4	   213464.80	Ej Spelad	1.00	 1
 0- 1	 2- 3	 6- 2	   244959.61	Ej Spelad	1.00	 1
 0- 1	 2- 3	 6- 3	   191570.97	Ej Spelad	1.00	 1
 0- 1	 2- 4	 0- 3	   233940.63	Ej Spelad	1.00	 1
 0- 1	 2- 4	 1- 2	   125077.16	Ej Spelad	1.00	 1
 0- 1	 2- 4	 1- 3	   122648.48	Ej Spelad	1.00	 1
 0- 1	 2- 4	 1- 4	   132976.77	Ej Spelad	1.00	 1
 0- 1	 2- 4	 2- 0	   249072.80	Ej Spelad	1.00	 1
 0- 1	 2- 4	 2- 1	    82688.14	Ej Spelad	1.00	 1
 0- 1	 2- 4	 2- 2	    43183.89	Ej Spelad	1.00	 1
 0- 1	 2- 4	 2- 3	   113808.95	Ej Spelad	1.00	 1
 0- 1	 2- 4	 2- 4	   131591.59	Ej Spelad	1.00	 1
 0- 1	 2- 4	 2- 5	   177926.67	Ej Spelad	1.00	 1
 0- 1	 2- 4	 3- 0	   151288.66	Ej Spelad	1.00	 1
 0- 1	 2- 4	 3- 1	    79470.70	Ej Spelad	1.00	 1
 0- 1	 2- 4	 3- 2	    65252.30	Ej Spelad	1.00	 1
 0- 1	 2- 4	 3- 3	    32387.92	Ej Spelad	1.00	 1
 0- 1	 2- 4	 3- 4	   164062.25	Ej Spelad	1.00	 1
 0- 1	 2- 4	 3- 5	   183083.97	Ej Spelad	1.00	 1
 0- 1	 2- 4	 4- 1	    88415.46	Ej Spelad	1.00	 1
 0- 1	 2- 4	 4- 2	    77657.68	Ej Spelad	1.00	 1
 0- 1	 2- 4	 4- 3	   118057.63	Ej Spelad	1.00	 1
 0- 1	 2- 4	 4- 4	    64775.83	Ej Spelad	1.00	 1
 0- 1	 2- 4	 5- 1	   164709.44	Ej Spelad	1.00	 1
 0- 1	 2- 4	 5- 2	   110999.84	Ej Spelad	1.00	 1
 0- 1	 2- 4	 5- 3	   149080.06	Ej Spelad	1.00	 1
 0- 1	 2- 5	 1- 2	   187145.52	Ej Spelad	1.00	 1
 0- 1	 2- 5	 1- 3	   183511.63	Ej Spelad	1.00	 1
 0- 1	 2- 5	 1- 4	   198965.23	Ej Spelad	1.00	 1
 0- 1	 2- 5	 2- 1	   123721.35	Ej Spelad	1.00	 1
 0- 1	 2- 5	 2- 2	    64613.48	Ej Spelad	1.00	 1
 0- 1	 2- 5	 2- 3	   170285.58	Ej Spelad	1.00	 1
 0- 1	 2- 5	 2- 4	   196892.69	Ej Spelad	1.00	 1
 0- 1	 2- 5	 3- 0	   226364.23	Ej Spelad	1.00	 1
 0- 1	 2- 5	 3- 1	   118907.29	Ej Spelad	1.00	 1
 0- 1	 2- 5	 3- 2	    97633.14	Ej Spelad	1.00	 1
 0- 1	 2- 5	 3- 3	    48460.11	Ej Spelad	1.00	 1
 0- 1	 2- 5	 3- 4	   245476.59	Ej Spelad	1.00	 1
 0- 1	 2- 5	 4- 1	   132290.80	Ej Spelad	1.00	 1
 0- 1	 2- 5	 4- 2	   116194.57	Ej Spelad	1.00	 1
 0- 1	 2- 5	 4- 3	   176642.61	Ej Spelad	1.00	 1
 0- 1	 2- 5	 4- 4	    96920.23	Ej Spelad	1.00	 1
 0- 1	 2- 5	 5- 1	   246444.94	Ej Spelad	1.00	 1
 0- 1	 2- 5	 5- 2	   166082.47	Ej Spelad	1.00	 1
 0- 1	 2- 5	 5- 3	   223059.64	Ej Spelad	1.00	 1
 0- 1	 2- 6	 2- 2	   159140.61	Ej Spelad	1.00	 1
 0- 1	 2- 6	 3- 2	   240466.80	Ej Spelad	1.00	 1
 0- 1	 2- 6	 3- 3	   119355.45	Ej Spelad	1.00	 1
 0- 1	 2- 6	 4- 4	   238710.91	Ej Spelad	1.00	 1
 0- 1	 3- 0	 2- 1	   188584.16	Ej Spelad	1.00	 1
 0- 1	 3- 0	 2- 2	    98488.09	Ej Spelad	1.00	 1
 0- 1	 3- 0	 3- 1	   181246.25	Ej Spelad	1.00	 1
 0- 1	 3- 0	 3- 2	   148818.81	Ej Spelad	1.00	 1
 0- 1	 3- 0	 3- 3	    73866.07	Ej Spelad	1.00	 1
 0- 1	 3- 0	 4- 1	   201646.27	Ej Spelad	1.00	 1
 0- 1	 3- 0	 4- 2	   177111.36	Ej Spelad	1.00	 1
 0- 1	 3- 0	 4- 4	   147732.14	Ej Spelad	1.00	 1
 0- 1	 3- 0	 5- 2	   253153.73	Ej Spelad	1.00	 1
 0- 1	 3- 1	 0- 3	   235937.63	Ej Spelad	1.00	 1
 0- 1	 3- 1	 1- 2	   126144.87	Ej Spelad	1.00	 1
 0- 1	 3- 1	 1- 3	   123695.45	Ej Spelad	1.00	 1
 0- 1	 3- 1	 1- 4	   134111.91	Ej Spelad	1.00	 1
 0- 1	 3- 1	 2- 0	   251198.98	Ej Spelad	1.00	 1
 0- 1	 3- 1	 2- 1	    83394.00	Ej Spelad	1.00	 1
 0- 1	 3- 1	 2- 2	    43552.52	Ej Spelad	1.00	 1
 0- 1	 3- 1	 2- 3	   114780.48	Ej Spelad	1.00	 1
 0- 1	 3- 1	 2- 4	   132714.92	Ej Spelad	1.00	 1
 0- 1	 3- 1	 2- 5	   179445.53	Ej Spelad	1.00	 1
 0- 1	 3- 1	 3- 0	   152580.13	Ej Spelad	1.00	 1
 0- 1	 3- 1	 3- 1	    80149.09	Ej Spelad	1.00	 1
 0- 1	 3- 1	 3- 2	    65809.32	Ej Spelad	1.00	 1
 0- 1	 3- 1	 3- 3	    32664.39	Ej Spelad	1.00	 1
 0- 1	 3- 1	 3- 4	   165462.75	Ej Spelad	1.00	 1
 0- 1	 3- 1	 3- 5	   184646.84	Ej Spelad	1.00	 1
 0- 1	 3- 1	 4- 1	    89170.21	Ej Spelad	1.00	 1
 0- 1	 3- 1	 4- 2	    78320.60	Ej Spelad	1.00	 1
 0- 1	 3- 1	 4- 3	   119065.42	Ej Spelad	1.00	 1
 0- 1	 3- 1	 4- 4	    65328.79	Ej Spelad	1.00	 1
 0- 1	 3- 1	 5- 1	   166115.45	Ej Spelad	1.00	 1
 0- 1	 3- 1	 5- 2	   111947.38	Ej Spelad	1.00	 1
 0- 1	 3- 1	 5- 3	   150352.67	Ej Spelad	1.00	 1
 0- 1	 3- 2	 0- 3	   181280.25	Ej Spelad	1.00	 1
 0- 1	 3- 2	 1- 0	   229369.64	Ej Spelad	1.00	 1
 0- 1	 3- 2	 1- 2	    96922.12	Ej Spelad	1.00	 1
 0- 1	 3- 2	 1- 3	    95040.13	Ej Spelad	1.00	 1
 0- 1	 3- 2	 1- 4	   103043.51	Ej Spelad	1.00	 1
 0- 1	 3- 2	 2- 0	   193006.16	Ej Spelad	1.00	 1
 0- 1	 3- 2	 2- 1	    64074.92	Ej Spelad	1.00	 1
 0- 1	 3- 2	 2- 2	    33463.13	Ej Spelad	1.00	 1
 0- 1	 3- 2	 2- 3	    88190.40	Ej Spelad	1.00	 1
 0- 1	 3- 2	 2- 4	   101970.14	Ej Spelad	1.00	 1
 0- 1	 3- 2	 2- 5	   137875.13	Ej Spelad	1.00	 1
 0- 1	 3- 2	 3- 0	   117233.38	Ej Spelad	1.00	 1
 0- 1	 3- 2	 3- 1	    61581.73	Ej Spelad	1.00	 1
 0- 1	 3- 2	 3- 2	    50563.92	Ej Spelad	1.00	 1
 0- 1	 3- 2	 3- 3	    25097.35	Ej Spelad	1.00	 1
 0- 1	 3- 2	 3- 4	   127131.60	Ej Spelad	1.00	 1
 0- 1	 3- 2	 3- 5	   141871.50	Ej Spelad	1.00	 1
 0- 1	 3- 2	 4- 0	   226092.94	Ej Spelad	1.00	 1
 0- 1	 3- 2	 4- 1	    68513.02	Ej Spelad	1.00	 1
 0- 1	 3- 2	 4- 2	    60176.83	Ej Spelad	1.00	 1
 0- 1	 3- 2	 4- 3	    91482.69	Ej Spelad	1.00	 1
 0- 1	 3- 2	 4- 4	    50194.70	Ej Spelad	1.00	 1
 0- 1	 3- 2	 5- 1	   127633.11	Ej Spelad	1.00	 1
 0- 1	 3- 2	 5- 2	    86013.62	Ej Spelad	1.00	 1
 0- 1	 3- 2	 5- 3	   115521.94	Ej Spelad	1.00	 1
 0- 1	 3- 2	 5- 4	   226092.94	Ej Spelad	1.00	 1
 0- 1	 3- 2	 6- 3	   202903.92	Ej Spelad	1.00	 1
 0- 1	 3- 3	 0- 1	   155349.20	Ej Spelad	1.00	 1
 0- 1	 3- 3	 0- 2	   149801.02	Ej Spelad	1.00	 1
 0- 1	 3- 3	 0- 3	    77674.60	Ej Spelad	1.00	 1
 0- 1	 3- 3	 0- 4	   174767.84	Ej Spelad	1.00	 1
 0- 1	 3- 3	 1- 0	    98279.85	Ej Spelad	1.00	 1
 0- 1	 3- 3	 1- 2	    41529.00	Ej Spelad	1.00	 1
 0- 1	 3- 3	 1- 3	    40722.61	Ej Spelad	1.00	 1
 0- 1	 3- 3	 1- 4	    44151.88	Ej Spelad	1.00	 1
 0- 1	 3- 3	 1- 5	   127103.90	Ej Spelad	1.00	 1
 0- 1	 3- 3	 2- 0	    82698.90	Ej Spelad	1.00	 1
 0- 1	 3- 3	 2- 1	    27454.70	Ej Spelad	1.00	 1
 0- 1	 3- 3	 2- 2	    14338.22	Ej Spelad	1.00	 1
 0- 1	 3- 3	 2- 3	    37787.64	Ej Spelad	1.00	 1
 0- 1	 3- 3	 2- 4	    43691.96	Ej Spelad	1.00	 1
 0- 1	 3- 3	 2- 5	    59076.46	Ej Spelad	1.00	 1
 0- 1	 3- 3	 3- 0	    50231.92	Ej Spelad	1.00	 1
 0- 1	 3- 3	 3- 1	    26386.42	Ej Spelad	1.00	 1
 0- 1	 3- 3	 3- 2	    21665.53	Ej Spelad	1.00	 1
 0- 1	 3- 3	 3- 3	    10753.66	Ej Spelad	1.00	 1
 0- 1	 3- 3	 3- 4	    54473.10	Ej Spelad	1.00	 1
 0- 1	 3- 3	 3- 5	    60788.82	Ej Spelad	1.00	 1
 0- 1	 3- 3	 3- 6	   174767.84	Ej Spelad	1.00	 1
 0- 1	 3- 3	 4- 0	    96875.85	Ej Spelad	1.00	 1
 0- 1	 3- 3	 4- 1	    29356.32	Ej Spelad	1.00	 1
 0- 1	 3- 3	 4- 2	    25784.45	Ej Spelad	1.00	 1
 0- 1	 3- 3	 4- 3	    39198.32	Ej Spelad	1.00	 1
 0- 1	 3- 3	 4- 4	    21507.32	Ej Spelad	1.00	 1
 0- 1	 3- 3	 4- 5	   144635.47	Ej Spelad	1.00	 1
 0- 1	 3- 3	 4- 6	   220759.39	Ej Spelad	1.00	 1
 0- 1	 3- 3	 5- 0	   188369.72	Ej Spelad	1.00	 1
 0- 1	 3- 3	 5- 1	    54687.98	Ej Spelad	1.00	 1
 0- 1	 3- 3	 5- 2	    36854.95	Ej Spelad	1.00	 1
 0- 1	 3- 3	 5- 3	    49498.61	Ej Spelad	1.00	 1
 0- 1	 3- 3	 5- 4	    96875.85	Ej Spelad	1.00	 1
 0- 1	 3- 3	 6- 0	   251159.63	Ej Spelad	1.00	 1
 0- 1	 3- 3	 6- 1	   135626.19	Ej Spelad	1.00	 1
 0- 1	 3- 3	 6- 2	   111169.01	Ej Spelad	1.00	 1
 0- 1	 3- 3	 6- 3	    86939.87	Ej Spelad	1.00	 1
 0- 1	 3- 3	 6- 4	   130409.80	Ej Spelad	1.00	 1
 0- 1	 3- 3	 7- 2	   242189.63	Ej Spelad	1.00	 1
 0- 1	 3- 3	 7- 3	   242189.63	Ej Spelad	1.00	 1
 0- 1	 3- 3	 7- 4	   226043.64	Ej Spelad	1.00	 1
 0- 1	 3- 4	 1- 2	   184372.98	Ej Spelad	1.00	 1
 0- 1	 3- 4	 1- 3	   180792.92	Ej Spelad	1.00	 1
 0- 1	 3- 4	 1- 4	   196017.59	Ej Spelad	1.00	 1
 0- 1	 3- 4	 2- 1	   121888.44	Ej Spelad	1.00	 1
 0- 1	 3- 4	 2- 2	    63656.24	Ej Spelad	1.00	 1
 0- 1	 3- 4	 2- 3	   167762.81	Ej Spelad	1.00	 1
 0- 1	 3- 4	 2- 4	   193975.75	Ej Spelad	1.00	 1
 0- 1	 3- 4	 3- 0	   223010.67	Ej Spelad	1.00	 1
 0- 1	 3- 4	 3- 1	   117145.69	Ej Spelad	1.00	 1
 0- 1	 3- 4	 3- 2	    96186.72	Ej Spelad	1.00	 1
 0- 1	 3- 4	 3- 3	    47742.18	Ej Spelad	1.00	 1
 0- 1	 3- 4	 3- 4	   241839.89	Ej Spelad	1.00	 1
 0- 1	 3- 4	 4- 1	   130330.92	Ej Spelad	1.00	 1
 0- 1	 3- 4	 4- 2	   114473.16	Ej Spelad	1.00	 1
 0- 1	 3- 4	 4- 3	   174025.67	Ej Spelad	1.00	 1
 0- 1	 3- 4	 4- 4	    95484.37	Ej Spelad	1.00	 1
 0- 1	 3- 4	 5- 1	   242793.89	Ej Spelad	1.00	 1
 0- 1	 3- 4	 5- 2	   163621.97	Ej Spelad	1.00	 1
 0- 1	 3- 4	 5- 3	   219755.05	Ej Spelad	1.00	 1
 0- 1	 3- 5	 1- 2	   209162.64	Ej Spelad	1.00	 1
 0- 1	 3- 5	 1- 3	   205101.23	Ej Spelad	1.00	 1
 0- 1	 3- 5	 1- 4	   222372.91	Ej Spelad	1.00	 1
