   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 3- 0	 5- 0	    80293.54	Ej Spelad	1.00	 1
 0- 0	 3- 1	 0- 2	     8067.30	Ej Spelad	1.00	 1
 0- 0	 3- 1	 0- 3	    22574.59	Ej Spelad	1.00	 1
 0- 0	 3- 1	 0- 4	    77351.17	Ej Spelad	1.00	 1
 0- 0	 3- 1	 1- 4	    49621.51	Ej Spelad	1.00	 1
 0- 0	 3- 1	 2- 0	     4882.00	Ej Spelad	1.00	 1
 0- 0	 3- 1	 2- 2	     6613.44	Ej Spelad	1.00	 1
 0- 0	 3- 1	 2- 3	    19553.46	Ej Spelad	1.00	 1
 0- 0	 3- 1	 2- 4	    58443.11	Ej Spelad	1.00	 1
 0- 0	 3- 1	 3- 0	    10380.28	Ej Spelad	1.00	 1
 0- 0	 3- 1	 3- 1	     8210.30	Ej Spelad	1.00	 1
 0- 0	 3- 1	 3- 2	    13959.68	Ej Spelad	1.00	 1
 0- 0	 3- 1	 3- 3	    38106.00	Ej Spelad	1.00	 1
 0- 0	 3- 1	 4- 0	    26446.23	Ej Spelad	1.00	 1
 0- 0	 3- 1	 4- 1	    22490.60	Ej Spelad	1.00	 1
 0- 0	 3- 1	 4- 2	    33735.90	Ej Spelad	1.00	 1
 0- 0	 3- 1	 5- 0	    67471.80	Ej Spelad	1.00	 1
 0- 0	 3- 1	 5- 1	    97459.27	Ej Spelad	1.00	 1
 0- 0	 3- 2	 0- 3	    28554.62	Ej Spelad	1.00	 1
 0- 0	 3- 2	 0- 4	    97841.56	Ej Spelad	1.00	 1
 0- 0	 3- 2	 1- 4	    62766.29	Ej Spelad	1.00	 1
 0- 0	 3- 2	 2- 4	    73924.73	Ej Spelad	1.00	 1
 0- 0	 3- 2	 3- 0	    13130.02	Ej Spelad	1.00	 1
 0- 0	 3- 2	 3- 1	    10385.21	Ej Spelad	1.00	 1
 0- 0	 3- 2	 3- 2	    17657.61	Ej Spelad	1.00	 1
 0- 0	 3- 2	 3- 3	    48200.31	Ej Spelad	1.00	 1
 0- 0	 3- 2	 4- 0	    33451.86	Ej Spelad	1.00	 1
 0- 0	 3- 2	 4- 1	    28448.38	Ej Spelad	1.00	 1
 0- 0	 3- 2	 4- 2	    42672.57	Ej Spelad	1.00	 1
 0- 0	 3- 2	 5- 0	    85345.13	Ej Spelad	1.00	 1
 0- 0	 3- 3	 0- 1	    13073.93	Ej Spelad	1.00	 1
 0- 0	 3- 3	 0- 2	    21796.58	Ej Spelad	1.00	 1
 0- 0	 3- 3	 0- 3	    60992.99	Ej Spelad	1.00	 1
 0- 0	 3- 3	 1- 1	     7329.10	Ej Spelad	1.00	 1
 0- 0	 3- 3	 1- 3	    32973.01	Ej Spelad	1.00	 1
 0- 0	 3- 3	 2- 1	    11285.13	Ej Spelad	1.00	 1
 0- 0	 3- 3	 2- 2	    17868.47	Ej Spelad	1.00	 1
 0- 0	 3- 3	 2- 3	    52830.36	Ej Spelad	1.00	 1
 0- 0	 3- 3	 3- 0	    28045.88	Ej Spelad	1.00	 1
 0- 0	 3- 3	 3- 1	    22182.93	Ej Spelad	1.00	 1
 0- 0	 3- 3	 3- 2	    37716.87	Ej Spelad	1.00	 1
 0- 0	 3- 3	 4- 0	    71453.55	Ej Spelad	1.00	 1
 0- 0	 3- 3	 4- 1	    60766.06	Ej Spelad	1.00	 1
 0- 0	 3- 3	 4- 2	    91149.09	Ej Spelad	1.00	 1
 0- 0	 3- 4	 0- 0	    42279.61	Ej Spelad	1.00	 1
 0- 0	 3- 4	 0- 1	    49278.67	Ej Spelad	1.00	 1
 0- 0	 3- 4	 0- 2	    82156.31	Ej Spelad	1.00	 1
 0- 0	 3- 4	 1- 0	    36018.59	Ej Spelad	1.00	 1
 0- 0	 3- 4	 1- 1	    27625.07	Ej Spelad	1.00	 1
 0- 0	 3- 4	 1- 2	    54826.94	Ej Spelad	1.00	 1
 0- 0	 3- 4	 2- 0	    49717.68	Ej Spelad	1.00	 1
 0- 0	 3- 4	 2- 1	    42536.24	Ej Spelad	1.00	 1
 0- 0	 3- 4	 2- 2	    67350.37	Ej Spelad	1.00	 1
 0- 0	 3- 4	 3- 1	    83612.57	Ej Spelad	1.00	 1
 0- 0	 3- 5	 1- 1	    95432.06	Ej Spelad	1.00	 1
 0- 0	 4- 0	 0- 0	    14821.69	Ej Spelad	1.00	 1
 0- 0	 4- 0	 0- 1	    17275.31	Ej Spelad	1.00	 1
 0- 0	 4- 0	 0- 2	    28801.02	Ej Spelad	1.00	 1
 0- 0	 4- 0	 0- 3	    80593.40	Ej Spelad	1.00	 1
 0- 0	 4- 0	 1- 0	    12626.81	Ej Spelad	1.00	 1
 0- 0	 4- 0	 1- 1	     9684.34	Ej Spelad	1.00	 1
 0- 0	 4- 0	 1- 2	    19220.33	Ej Spelad	1.00	 1
 0- 0	 4- 0	 1- 3	    43569.05	Ej Spelad	1.00	 1
 0- 0	 4- 0	 2- 0	    17429.21	Ej Spelad	1.00	 1
 0- 0	 4- 0	 2- 1	    14911.66	Ej Spelad	1.00	 1
 0- 0	 4- 0	 2- 2	    23610.59	Ej Spelad	1.00	 1
 0- 0	 4- 0	 2- 3	    69807.66	Ej Spelad	1.00	 1
 0- 0	 4- 0	 3- 0	    37058.56	Ej Spelad	1.00	 1
 0- 0	 4- 0	 3- 1	    29311.53	Ej Spelad	1.00	 1
 0- 0	 4- 0	 3- 2	    49837.37	Ej Spelad	1.00	 1
 0- 0	 4- 0	 4- 0	    94415.52	Ej Spelad	1.00	 1
 0- 0	 4- 0	 4- 1	    80293.54	Ej Spelad	1.00	 1
 0- 0	 4- 1	 0- 0	    12106.27	Ej Spelad	1.00	 1
 0- 0	 4- 1	 0- 1	    14110.37	Ej Spelad	1.00	 1
 0- 0	 4- 1	 0- 2	    23524.49	Ej Spelad	1.00	 1
 0- 0	 4- 1	 0- 3	    65828.20	Ej Spelad	1.00	 1
 0- 0	 4- 1	 1- 0	    10313.50	Ej Spelad	1.00	 1
 0- 0	 4- 1	 1- 1	     7910.11	Ej Spelad	1.00	 1
 0- 0	 4- 1	 1- 2	    15699.05	Ej Spelad	1.00	 1
 0- 0	 4- 1	 1- 3	    35586.94	Ej Spelad	1.00	 1
 0- 0	 4- 1	 2- 0	    14236.07	Ej Spelad	1.00	 1
 0- 0	 4- 1	 2- 1	    12179.75	Ej Spelad	1.00	 1
 0- 0	 4- 1	 2- 2	    19284.99	Ej Spelad	1.00	 1
 0- 0	 4- 1	 2- 3	    57018.48	Ej Spelad	1.00	 1
 0- 0	 4- 1	 3- 0	    30269.21	Ej Spelad	1.00	 1
 0- 0	 4- 1	 3- 1	    23941.48	Ej Spelad	1.00	 1
 0- 0	 4- 1	 3- 2	    40706.86	Ej Spelad	1.00	 1
 0- 0	 4- 1	 4- 0	    77118.02	Ej Spelad	1.00	 1
 0- 0	 4- 1	 4- 1	    65583.27	Ej Spelad	1.00	 1
 0- 0	 4- 1	 4- 2	    98374.91	Ej Spelad	1.00	 1
 0- 0	 4- 2	 0- 0	    17427.71	Ej Spelad	1.00	 1
 0- 0	 4- 2	 0- 1	    20312.73	Ej Spelad	1.00	 1
 0- 0	 4- 2	 0- 2	    33864.93	Ej Spelad	1.00	 1
 0- 0	 4- 2	 0- 3	    94763.68	Ej Spelad	1.00	 1
 0- 0	 4- 2	 1- 0	    14846.91	Ej Spelad	1.00	 1
 0- 0	 4- 2	 1- 1	    11387.09	Ej Spelad	1.00	 1
 0- 0	 4- 2	 1- 2	    22599.73	Ej Spelad	1.00	 1
 0- 0	 4- 2	 1- 3	    51229.55	Ej Spelad	1.00	 1
 0- 0	 4- 2	 2- 0	    20493.69	Ej Spelad	1.00	 1
 0- 0	 4- 2	 2- 1	    17533.49	Ej Spelad	1.00	 1
 0- 0	 4- 2	 2- 2	    27761.91	Ej Spelad	1.00	 1
 0- 0	 4- 2	 2- 3	    82081.55	Ej Spelad	1.00	 1
 0- 0	 4- 2	 3- 0	    43574.35	Ej Spelad	1.00	 1
 0- 0	 4- 2	 3- 1	    34465.21	Ej Spelad	1.00	 1
 0- 0	 4- 2	 3- 2	    58599.99	Ej Spelad	1.00	 1
 0- 0	 4- 2	 4- 1	    94411.09	Ej Spelad	1.00	 1
 0- 0	 4- 3	 0- 0	    44053.37	Ej Spelad	1.00	 1
 0- 0	 4- 3	 0- 1	    51346.06	Ej Spelad	1.00	 1
 0- 0	 4- 3	 0- 2	    85603.02	Ej Spelad	1.00	 1
 0- 0	 4- 3	 1- 0	    37529.68	Ej Spelad	1.00	 1
 0- 0	 4- 3	 1- 1	    28784.02	Ej Spelad	1.00	 1
 0- 0	 4- 3	 1- 2	    57127.09	Ej Spelad	1.00	 1
 0- 0	 4- 3	 2- 0	    51803.48	Ej Spelad	1.00	 1
 0- 0	 4- 3	 2- 1	    44320.76	Ej Spelad	1.00	 1
 0- 0	 4- 3	 2- 2	    70175.92	Ej Spelad	1.00	 1
 0- 0	 4- 3	 3- 1	    87120.38	Ej Spelad	1.00	 1
 0- 0	 4- 4	 1- 0	    86686.14	Ej Spelad	1.00	 1
 0- 0	 4- 4	 1- 1	    66485.41	Ej Spelad	1.00	 1
 0- 0	 5- 0	 0- 0	    83469.55	Ej Spelad	1.00	 1
 0- 0	 5- 0	 0- 1	    97287.27	Ej Spelad	1.00	 1
 0- 0	 5- 0	 1- 0	    71108.86	Ej Spelad	1.00	 1
 0- 0	 5- 0	 1- 1	    54538.15	Ej Spelad	1.00	 1
 0- 0	 5- 0	 2- 0	    98153.97	Ej Spelad	1.00	 1
 0- 0	 5- 0	 2- 1	    83976.18	Ej Spelad	1.00	 1
 0- 0	 5- 1	 0- 0	    40664.65	Ej Spelad	1.00	 1
 0- 0	 5- 1	 0- 1	    47396.36	Ej Spelad	1.00	 1
 0- 0	 5- 1	 0- 2	    79018.17	Ej Spelad	1.00	 1
 0- 0	 5- 1	 1- 0	    34642.78	Ej Spelad	1.00	 1
 0- 0	 5- 1	 1- 1	    26569.87	Ej Spelad	1.00	 1
 0- 0	 5- 1	 1- 2	    52732.70	Ej Spelad	1.00	 1
 0- 0	 5- 1	 2- 0	    47818.60	Ej Spelad	1.00	 1
 0- 0	 5- 1	 2- 1	    40911.47	Ej Spelad	1.00	 1
 0- 0	 5- 1	 2- 2	    64777.77	Ej Spelad	1.00	 1
 0- 0	 5- 1	 3- 1	    80418.80	Ej Spelad	1.00	 1
 0- 0	 5- 2	 0- 0	    88106.73	Ej Spelad	1.00	 1
 0- 0	 5- 2	 1- 0	    75059.35	Ej Spelad	1.00	 1
 0- 0	 5- 2	 1- 1	    57568.05	Ej Spelad	1.00	 1
 0- 0	 5- 2	 1- 2	   114254.18	Ej Spelad	1.00	 1
 0- 0	 5- 2	 1- 3	   258993.80	Ej Spelad	1.00	 1
 0- 0	 5- 2	 2- 0	   103606.97	Ej Spelad	1.00	 1
 0- 0	 5- 2	 2- 1	    88641.52	Ej Spelad	1.00	 1
 0- 0	 5- 2	 2- 2	   140351.84	Ej Spelad	1.00	 1
 0- 0	 5- 2	 2- 3	   414967.75	Ej Spelad	1.00	 1
 0- 0	 5- 2	 3- 0	   220292.53	Ej Spelad	1.00	 1
 0- 0	 5- 2	 3- 1	   174240.75	Ej Spelad	1.00	 1
 0- 0	 5- 2	 3- 2	   296255.47	Ej Spelad	1.00	 1
 0- 0	 5- 2	 4- 1	   477300.47	Ej Spelad	1.00	 1
 0- 0	 5- 3	 1- 0	   150118.70	Ej Spelad	1.00	 1
