   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 2- 2	 3- 7	 0- 0	     3669.64	Ej Spelad	1.00	 1
 2- 2	 3- 8	 0- 0	     4892.86	Ej Spelad	1.00	 1
 2- 2	 4- 0	 0- 0	    10617.86	Ej Spelad	1.00	 1
 2- 2	 4- 1	 0- 0	     2654.46	Ej Spelad	1.00	 1
 2- 2	 4- 5	 0- 0	     1334.42	Ej Spelad	1.00	 1
 2- 2	 4- 6	 0- 0	      863.45	Ej Spelad	1.00	 1
 2- 2	 4- 7	 0- 0	     2935.71	Ej Spelad	1.00	 1
 2- 2	 4- 8	 0- 0	     4892.86	Ej Spelad	1.00	 1
 2- 2	 4-10	 0- 0	     4892.86	Ej Spelad	1.00	 1
 2- 2	 5- 3	 0- 0	     1011.22	Ej Spelad	1.00	 1
 2- 2	 5- 4	 0- 0	     1061.79	Ej Spelad	1.00	 1
 2- 2	 5- 5	 0- 0	     1071.43	Ej Spelad	1.00	 1
 2- 2	 5- 6	 0- 0	     1834.82	Ej Spelad	1.00	 1
 2- 2	 5- 7	 0- 0	     2935.71	Ej Spelad	1.00	 1
 2- 2	 5- 8	 0- 0	     4892.86	Ej Spelad	1.00	 1
 2- 2	 5- 9	 0- 0	     7339.29	Ej Spelad	1.00	 1
 2- 2	 6- 0	 0- 0	    10617.86	Ej Spelad	1.00	 1
 2- 2	 6- 1	 0- 0	    10617.86	Ej Spelad	1.00	 1
 2- 2	 6- 5	 0- 0	     2123.57	Ej Spelad	1.00	 1
 2- 2	 6- 7	 0- 0	     3669.64	Ej Spelad	1.00	 1
 2- 2	 6- 8	 0- 0	     7339.29	Ej Spelad	1.00	 1
 2- 2	 6- 9	 0- 0	     7339.29	Ej Spelad	1.00	 1
 2- 2	 7- 2	 0- 0	     3033.67	Ej Spelad	1.00	 1
 2- 2	 7- 3	 0- 0	     3033.67	Ej Spelad	1.00	 1
 2- 2	 7- 4	 0- 0	     3033.67	Ej Spelad	1.00	 1
 2- 2	 7- 5	 0- 0	     3033.67	Ej Spelad	1.00	 1
 2- 2	 7- 6	 0- 0	     3539.29	Ej Spelad	1.00	 1
 2- 2	 7-10	 0- 0	     7339.29	Ej Spelad	1.00	 1
 2- 2	 8- 2	 0- 0	     3539.29	Ej Spelad	1.00	 1
 2- 2	 8- 3	 0- 0	     5308.93	Ej Spelad	1.00	 1
 2- 2	 8- 4	 0- 0	     4247.14	Ej Spelad	1.00	 1
 2- 2	 8- 5	 0- 0	     5308.93	Ej Spelad	1.00	 1
 2- 2	 8- 6	 0- 0	    10617.86	Ej Spelad	1.00	 1
 2- 2	 8- 7	 0- 0	    10617.86	Ej Spelad	1.00	 1
 2- 2	 9- 2	 0- 0	     5308.93	Ej Spelad	1.00	 1
